# BetterQuesting Item Export
# Format: modid:item_name
# Use these IDs in DSL quest files

3DManeuverGear:3DManeuverGear                      # 3D Maneuver Gear
marchofents:lebennin_leggings                      # Lebennin Leggings
marchofents:lebennin_sword                         # Lebennin Sword
marchofents:longsword_arnor                        # Arnorian Longsword
marchofents:lossarnach_battleaxe                   # Lossarnach Battleaxe
marchofents:lossarnach_heavy_warhammer             # Lossarnach Heavy Warhammer
marchofents:lossarnach_poleaxe                     # Lossarnach PoleAxe
marchofents:lossarnach_spear                       # Lossarnach Spear
marchofents:lossarnach_sword                       # Lossarnach Sword
marchofents:mithril_smithing_hammer                # Mithril Smithing Hammer
marchofents:nargothrond_battleaxe                  # Nargothrond BattleAxe
marchofents:nargothrond_longsword                  # Nargothrond Longsword
marchofents:nauglamir                              # Nauglamir
marchofents:numenorean_scimitar                    # Numenorean Scimitar
marchofents:numenorean_sword                       # Numenorean Sword
marchofents:one_ring                               # The One Ring
marchofents:opposing_ring                          # The Opposing Ring
marchofents:pike_lebennin                          # Lebennin Pike
marchofents:ring_barahir                           # Ring of Barahir
marchofents:ring_dwarf                             # Ring of Dwarves
marchofents:ring_men                               # Ring of Men
marchofents:ring_narya                             # Narya
marchofents:ring_nenya                             # Nenya
marchofents:ring_vilya                             # Vilya
matacraft:BlockBamboo                              # Bamboo
matacraft:BlockKoro                                # Ta-Koro Stone Brick
matacraft:BlockLightstone                          # Lightstone
matacraft:BlockLightstoneOre                       # Lightstone Ore
matacraft:BlockMakutaStone                         # Makuta Stone
matacraft:BlockNuiStone                            # Mata Nui Stone
matacraft:BlockNuvaCube                            # Nuva Cube
matacraft:BlockProtoOre                            # Protodermis Ore
matacraft:ItemAxe                                  # Matoran Protodermis Axe
matacraft:ItemPickaxe                              # Matoran Protodermis Pickaxe
matacraft:ItemShovel                               # Matoran Protodermis Shovel
matacraft:ItemSickle                               # Matoran Protodermis Sickle
matacraft:ItemSpear                                # Ta-Koro Guard Spear
matacraft:ProtoIngot                               # Protodemis Ingot
mazemod:ItemMobSpawner                             # Spawn MiniEnderDragon
mazemod:Light                                      # Light
mazemod:Locationeer                                # Maze Locationeer
mazemod:Regenerator                                # item.Regenerator.name
mazemod:SunLight                                   # tile.SunLight.name
mazemod:SunLight_Lit                               # tile.SunLight.name
mazemod:TNTchest                                   # tile.TNT Chest.name
mazemod:Transporter                                # Maze Transporter
megablue:BluestoneAxe                              # Mega Bluestone Axe
megablue:BluestoneBlock                            # Mega Bluestone Block
megablue:BluestoneDust                             # Mega Bluestone Dust
megablue:BluestoneIngot                            # Mega Bluestone Ingot
megablue:BluestonePickaxe                          # Mega Bluestone Pickaxe
megablue:BluestoneSpade                            # Mega Bluestone Spade
megablue:BluestoneSword                            # Mega Bluestone Sword
menagerie:spawnegg                                 # Spawn Cultist of the Dark Lepus
metallurgychisel:base_bar_storage                  # Copper Bar Storage
metallurgychisel:base_blank_plate                  # Copper Blank Plate
metallurgychisel:base_circle_plate                 # Copper Circle Plate
metallurgychisel:base_frame                        # Copper Frame
metallurgychisel:base_frame_crossed                # Copper Frame Crossed
metallurgychisel:base_grate                        # Copper Grate
metallurgychisel:base_horizontal_pipes             # Copper Horizontal Pipes
metallurgychisel:base_horizontal_plate             # Copper Horizontal Plate
metallurgychisel:base_large_bricks                 # Copper Large Bricks
metallurgychisel:base_mesh                         # Copper Mesh
metallurgychisel:base_ornate                       # Copper Ornate
metallurgychisel:base_plate                        # Copper Plate
metallurgychisel:base_quarter_plate                # Copper Quarter Plate
metallurgychisel:base_rune                         # Copper Rune
metallurgychisel:base_small_bricks                 # Copper Small Bricks
metallurgychisel:base_spiral                       # Copper Spiral
metallurgychisel:base_vertical_pipes               # Copper Vertical Pipes
metallurgychisel:base_vertical_plate               # Copper Vertical Plate
metallurgychisel:base_warning                      # Copper Warning
metallurgychisel:base_window                       # Copper Window
metallurgychisel:ender_bar_storage                 # Eximite Bar Storage
metallurgychisel:ender_blank_plate                 # Eximite Blank Plate
metallurgychisel:ender_circle_plate                # Eximite Circle Plate
metallurgychisel:ender_frame                       # Eximite Frame
metallurgychisel:ender_frame_crossed               # Eximite Frame Crossed
metallurgychisel:ender_grate                       # Eximite Grate
metallurgychisel:ender_horizontal_pipes            # Eximite Horizontal Pipes
metallurgychisel:ender_horizontal_plate            # Eximite Horizontal Plate
metallurgychisel:ender_large_bricks                # Eximite Large Bricks
metallurgychisel:ender_mesh                        # Eximite Mesh
metallurgychisel:ender_ornate                      # Eximite Ornate
metallurgychisel:ender_plate                       # Eximite Plate
metallurgychisel:ender_quarter_plate               # Eximite Quarter Plate
metallurgychisel:ender_rune                        # Eximite Rune
metallurgychisel:ender_small_bricks                # Eximite Small Bricks
metallurgychisel:ender_spiral                      # Eximite Spiral
metallurgychisel:ender_vertical_pipes              # Eximite Vertical Pipes
metallurgychisel:ender_vertical_plate              # Eximite Vertical Plate
metallurgychisel:ender_warning                     # Eximite Warning
metallurgychisel:ender_window                      # Eximite Window
metallurgychisel:fantasy_bar_storage               # Prometheum Bar Storage
metallurgychisel:fantasy_blank_plate               # Prometheum Blank Plate
metallurgychisel:fantasy_circle_plate              # Prometheum Circle Plate
metallurgychisel:fantasy_frame                     # Prometheum Frame
metallurgychisel:fantasy_frame_crossed             # Prometheum Frame Crossed
metallurgychisel:fantasy_grate                     # Prometheum Grate
metallurgychisel:fantasy_horizontal_pipes          # Prometheum Horizontal Pipes
metallurgychisel:fantasy_horizontal_plate          # Prometheum Horizontal Plate
metallurgychisel:fantasy_large_bricks              # Prometheum Large Bricks
metallurgychisel:fantasy_mesh                      # Prometheum Mesh
metallurgychisel:fantasy_ornate                    # Prometheum Ornate
metallurgychisel:fantasy_plate                     # Prometheum Plate
metallurgychisel:fantasy_quarter_plate             # Prometheum Quarter Plate
metallurgychisel:fantasy_rune                      # Prometheum Rune
metallurgychisel:fantasy_small_bricks              # Prometheum Small Bricks
metallurgychisel:fantasy_spiral                    # Prometheum Spiral
metallurgychisel:fantasy_vertical_pipes            # Prometheum Vertical Pipes
metallurgychisel:fantasy_vertical_plate            # Prometheum Vertical Plate
metallurgychisel:fantasy_warning                   # Prometheum Warning
metallurgychisel:fantasy_window                    # Prometheum Window
metallurgychisel:nether_bar_storage                # Ignatius Bar Storage
metallurgychisel:nether_blank_plate                # Ignatius Blank Plate
metallurgychisel:nether_circle_plate               # Ignatius Circle Plate
metallurgychisel:nether_frame                      # Ignatius Frame
metallurgychisel:nether_frame_crossed              # Ignatius Frame Crossed
metallurgychisel:nether_grate                      # Ignatius Grate
metallurgychisel:nether_horizontal_pipes           # Ignatius Horizontal Pipes
metallurgychisel:nether_horizontal_plate           # Ignatius Horizontal Plate
metallurgychisel:nether_large_bricks               # Ignatius Large Bricks
metallurgychisel:nether_mesh                       # Ignatius Mesh
metallurgychisel:nether_ornate                     # Ignatius Ornate
metallurgychisel:nether_plate                      # Ignatius Plate
metallurgychisel:nether_quarter_plate              # Ignatius Quarter Plate
metallurgychisel:nether_rune                       # Ignatius Rune
metallurgychisel:nether_small_bricks               # Ignatius Small Bricks
metallurgychisel:nether_spiral                     # Ignatius Spiral
metallurgychisel:nether_vertical_pipes             # Ignatius Vertical Pipes
metallurgychisel:nether_vertical_plate             # Ignatius Vertical Plate
metallurgychisel:nether_warning                    # Ignatius Warning
metallurgychisel:nether_window                     # Ignatius Window
metallurgychisel:precious_bar_storage              # Zinc Bar Storage
metallurgychisel:precious_blank_plate              # Zinc Blank Plate
metallurgychisel:precious_circle_plate             # Zinc Circle Plate
metallurgychisel:precious_frame                    # Zinc Frame
metallurgychisel:precious_frame_crossed            # Zinc Frame Crossed
metallurgychisel:precious_grate                    # Zinc Grate
metallurgychisel:precious_horizontal_pipes         # Zinc Horizontal Pipes
metallurgychisel:precious_horizontal_plate         # Zinc Horizontal Plate
metallurgychisel:precious_large_bricks             # Zinc Large Bricks
metallurgychisel:precious_mesh                     # Zinc Mesh
metallurgychisel:precious_ornate                   # Zinc Ornate
metallurgychisel:precious_plate                    # Zinc Plate
metallurgychisel:precious_quarter_plate            # Zinc Quarter Plate
metallurgychisel:precious_rune                     # Zinc Rune
metallurgychisel:precious_small_bricks             # Zinc Small Bricks
metallurgychisel:precious_spiral                   # Zinc Spiral
metallurgychisel:precious_vertical_pipes           # Zinc Vertical Pipes
metallurgychisel:precious_vertical_plate           # Zinc Vertical Plate
metallurgychisel:precious_warning                  # Zinc Warning
metallurgychisel:precious_window                   # Zinc Window
metallurgychisel:tabitem                           # item.metallurgychisel.tab.item.name
metallurgycm:abstractor                            # Prometheum Abstractor
metallurgycm:crusher                               # Stone Crusher
metallurgycm:metal_chest                           # Brass Chest
metallurgycm:metal_furnace                         # Copper Furnace
metallurgycm:smelter                               # Ignatius Smelter
mett:BookshelfInventarium                          # Star Infused Bookshelf Mithril
mett:CompressedEssentiaJar                         # Compressed Warded Jar
mett:ExtralargeEssentiaJar                         # Singularitific Warded Jar
mett:HandheldFactionCrafter                        # Handheld Factions Crafter
mett:ItemRingWarpward                              # Ring of Warp Fix
mett:MaterialNuggets                               # Gulduril Infused Black Uruksteel Nugget
mett:Materials                                     # Gulduril Infused Black Uruksteel Ingot
mett:StaffCores                                    # Gondorian Staff Core
mett:Storage                                       # Gulduril Infused Black Uruksteel Block
mett:WandCaps                                      # Mithril Cap
mett:WandCores                                     # Gondorian Rod
mett:WandCoresTT                                   # Ichorcloth Strapped Gondorian Rod
mett:focusBedrockRemover                           # Wand Focus: Bedrock Shatterer
mett:focusSummoning                                # Wand Focus: Summon Gondorian
mett:iconMiddleEarthThaumaturgy                    # Middle-Earth Thaumaturgy Creative tab Icon
mett:titleItem                                     # Title Scroll
mett:x2CompressedEssentiaJar                       # Double Compressed Warded Jar
mfm:DarkstalkersTalisman                           # Darkstalker's Talisman
mfm:DesBlade                                       # DES Blade
mfm:DesMauler                                      # item.DesMauler.name
mfm:HelmetLords                                    # DES Protective Helmet
mfm:PantsLords                                     # item.PantsLords.name
mfm:PowerCrystal                                   # Power Crystal
mfm:RobeLords                                      # DES Protective Suit
mfm:bootsLords                                     # item.bootsLords.name
minecraft:acacia_stairs                            # Acacia Stairs
minecraft:activator_rail                           # Activator Track
minecraft:anvil                                    # Anvil
minecraft:apple                                    # Apple
minecraft:arrow                                    # Arrow
minecraft:baked_potato                             # Baked Potato
minecraft:beacon                                   # Beacon
minecraft:bed                                      # Red Bed
minecraft:bedrock                                  # Bedrock
minecraft:beef                                     # Raw Beef
minecraft:birch_stairs                             # Birch Stairs
minecraft:blaze_powder                             # Blaze Powder
minecraft:blaze_rod                                # Blaze Rod
minecraft:boat                                     # Oak Boat
minecraft:bone                                     # Bone
minecraft:book                                     # Book
minecraft:bookshelf                                # Bookshelf
minecraft:bow                                      # Bow
minecraft:bowl                                     # Bowl
minecraft:bread                                    # Bread
minecraft:brewing_stand                            # Brewing Stand
minecraft:brick                                    # Brick
minecraft:brick_block                              # Bricks
minecraft:brick_stairs                             # Brick Stairs
minecraft:brown_mushroom                           # Mushroom
minecraft:brown_mushroom_block                     # Mushroom
minecraft:bucket                                   # Bucket
minecraft:cactus                                   # Cactus
minecraft:cake                                     # Cake
minecraft:carpet                                   # Carpet
minecraft:carrot                                   # Carrots
minecraft:carrot_on_a_stick                        # Carrot on a Stick
minecraft:carrots                                  # Carrots
minecraft:cauldron                                 # Cauldron
minecraft:chainmail_boots                          # Chain Boots
minecraft:chainmail_chestplate                     # Chain Chestplate
minecraft:chainmail_helmet                         # Chain Helmet
minecraft:chainmail_leggings                       # Chain Leggings
minecraft:chest                                    # Chest
minecraft:chest_minecart                           # Chest Cart
minecraft:chicken                                  # Raw Chicken
minecraft:clay                                     # Clay
minecraft:clay_ball                                # Clay Ball
minecraft:clock                                    # Clock
minecraft:coal                                     # Coal
minecraft:coal_block                               # Block of Coal
minecraft:coal_ore                                 # Coal Ore
minecraft:cobblestone                              # Cobblestone
minecraft:cobblestone_wall                         # Cobblestone Wall
minecraft:cocoa                                    # Cocoa Beans
minecraft:command_block                            # Command Block
minecraft:command_block_minecart                   # Command Block Minecart
minecraft:comparator                               # Redstone Comparator
minecraft:compass                                  # Compass
minecraft:cooked_beef                              # Steak
minecraft:cooked_chicken                           # Cooked Chicken
minecraft:cooked_fished                            # Cooked Cod
minecraft:cooked_porkchop                          # Cooked Porkchop
minecraft:cookie                                   # Cookie
minecraft:crafting_table                           # Crafting Table
minecraft:dark_oak_stairs                          # Dark Oak Stairs
minecraft:daylight_detector                        # Daylight Detector
minecraft:deadbush                                 # Dead Bush
minecraft:detector_rail                            # Detector Track
minecraft:diamond                                  # Diamond
minecraft:diamond_axe                              # Diamond Axe
minecraft:diamond_block                            # Block of Diamond
minecraft:diamond_boots                            # Diamond Boots
minecraft:diamond_chestplate                       # Diamond Chestplate
minecraft:diamond_helmet                           # Diamond Helmet
minecraft:diamond_hoe                              # Diamond Hoe
minecraft:diamond_horse_armor                      # Diamond Horse Armor
minecraft:diamond_leggings                         # Diamond Leggings
minecraft:diamond_ore                              # Diamond Ore
minecraft:diamond_pickaxe                          # Diamond Pickaxe
minecraft:diamond_shovel                           # Diamond Shovel
minecraft:diamond_sword                            # Diamond Sword
minecraft:dirt                                     # Dirt
minecraft:dispenser                                # Dispenser
minecraft:double_plant                             # Sunflower
minecraft:double_stone_slab                        # Smooth Stone Slab
minecraft:double_wooden_slab                       # Oak Slab
minecraft:dragon_egg                               # Dragon Egg
minecraft:dropper                                  # Dropper
minecraft:dye                                      # Ink Sac
minecraft:egg                                      # Egg
minecraft:emerald                                  # Emerald
minecraft:emerald_block                            # Block of Emerald
minecraft:emerald_ore                              # Emerald Ore
minecraft:enchanted_book                           # Enchanted Book
minecraft:enchanting_table                         # Enchanting Table
minecraft:end_portal                               # End Portal
minecraft:end_portal_frame                         # End Portal Frame
minecraft:end_stone                                # End Stone
minecraft:ender_chest                              # Ender Chest
minecraft:ender_eye                                # Eye of Ender
minecraft:ender_pearl                              # Ender Pearl
minecraft:experience_bottle                        # Bottle o' Enchanting
minecraft:farmland                                 # Farmland
minecraft:feather                                  # Feather
minecraft:fence                                    # Oak Fence
minecraft:fence_gate                               # Oak Fence Gate
minecraft:fermented_spider_eye                     # Fermented Spider Eye
minecraft:filled_map                               # Map
minecraft:fire                                     # Fire
minecraft:fire_charge                              # Fire Charge
minecraft:firework_charge                          # Firework Star
minecraft:fireworks                                # Firework Rocket
minecraft:fish                                     # Raw Cod
minecraft:fishing_rod                              # Vanilla Fishing Rod
minecraft:flint                                    # Flint
minecraft:flint_and_steel                          # Flint and Steel
minecraft:flower_pot                               # Flower Pot
minecraft:flowing_lava                             # Lava
minecraft:flowing_water                            # Water
minecraft:furnace                                  # Furnace
minecraft:furnace_minecart                         # Furnace Cart
minecraft:ghast_tear                               # Ghast Tear
minecraft:glass                                    # Glass
minecraft:glass_bottle                             # Glass Bottle
minecraft:glass_pane                               # Glass Pane
minecraft:glowstone                                # Glowstone
minecraft:glowstone_dust                           # Glowstone Dust
minecraft:gold_block                               # Gold Block
minecraft:gold_ingot                               # Gold Ingot
minecraft:gold_nugget                              # Gold Nugget
minecraft:gold_ore                                 # Gold Ore
minecraft:golden_apple                             # Golden Apple
minecraft:golden_axe                               # Golden Axe
minecraft:golden_boots                             # Golden Boots
minecraft:golden_carrot                            # Golden Carrot
minecraft:golden_chestplate                        # Golden Chestplate
minecraft:golden_helmet                            # Golden Helmet
minecraft:golden_hoe                               # Golden Hoe
minecraft:golden_horse_armor                       # Golden Horse Armor
minecraft:golden_leggings                          # Golden Leggings
minecraft:golden_pickaxe                           # Golden Pickaxe
minecraft:golden_rail                              # Booster Track
minecraft:golden_shovel                            # Golden Shovel
minecraft:golden_sword                             # Golden Sword
minecraft:grass                                    # Grass Block
minecraft:gravel                                   # Gravel
minecraft:gunpowder                                # Gunpowder
minecraft:hardened_clay                            # Terracotta
minecraft:hay_block                                # Hay Bale
minecraft:heavy_weighted_pressure_plate            # Heavy Weighted Pressure Plate
minecraft:hopper                                   # Hopper
minecraft:hopper_minecart                          # Hopper Cart
minecraft:ice                                      # Ice
minecraft:iron_axe                                 # Iron Axe
minecraft:iron_bars                                # Iron Fence
minecraft:iron_block                               # Iron Block
minecraft:iron_boots                               # Iron Boots
minecraft:iron_chestplate                          # Iron Chestplate
minecraft:iron_door                                # Iron Door
minecraft:iron_helmet                              # Iron Helmet
minecraft:iron_hoe                                 # Iron Hoe
minecraft:iron_horse_armor                         # Iron Horse Armor
minecraft:iron_ingot                               # Iron Ingot
minecraft:iron_leggings                            # Iron Leggings
minecraft:iron_ore                                 # Iron Ore
minecraft:iron_pickaxe                             # Iron Pickaxe
minecraft:iron_shovel                              # Iron Shovel
minecraft:iron_sword                               # Iron Sword
minecraft:item_frame                               # Item Frame
minecraft:jukebox                                  # Jukebox
minecraft:jungle_stairs                            # Jungle Stairs
minecraft:ladder                                   # Ladder
minecraft:lapis_block                              # Lapis Block
minecraft:lapis_ore                                # Lapis Lazuli Ore
minecraft:lava                                     # Lava
minecraft:lava_bucket                              # Lava Bucket
minecraft:lead                                     # Lead
minecraft:leather                                  # Leather
minecraft:leather_boots                            # Leather Boots
minecraft:leather_chestplate                       # Leather Tunic
minecraft:leather_helmet                           # Leather Cap
minecraft:leather_leggings                         # Leather Pants
minecraft:leaves                                   # Oak Leaves
minecraft:leaves2                                  # Acacia Leaves
minecraft:lever                                    # Lever
minecraft:light_weighted_pressure_plate            # Light Weighted Pressure Plate
minecraft:lit_furnace                              # Furnace
minecraft:lit_pumpkin                              # Jack o'Lantern
minecraft:log                                      # Oak Log
minecraft:log2                                     # Acacia Log
minecraft:magma_cream                              # Magma Cream
minecraft:map                                      # Empty Map
minecraft:melon                                    # Melon Slice
minecraft:melon_block                              # Melon Block
minecraft:melon_seeds                              # Melon Seeds
minecraft:milk_bucket                              # Milk Bucket
minecraft:minecart                                 # Minecart
minecraft:mob_spawner                              # Spawner
minecraft:monster_egg                              # Infested Stone
minecraft:mossy_cobblestone                        # Mossy Cobblestone
minecraft:mushroom_stew                            # Mushroom Stew
minecraft:mycelium                                 # Mycelium
minecraft:name_tag                                 # Name Tag
minecraft:nether_brick                             # Nether Bricks
minecraft:nether_brick_fence                       # Nether Brick Fence
minecraft:nether_brick_stairs                      # Nether Brick Stairs
minecraft:nether_star                              # Nether Star
minecraft:nether_wart                              # Nether Wart
minecraft:netherbrick                              # Nether Brick
minecraft:netherrack                               # Netherrack
minecraft:noteblock                                # Note Block
minecraft:oak_stairs                               # Oak Stairs
minecraft:obsidian                                 # Obsidian
minecraft:packed_ice                               # Packed Ice
minecraft:painting                                 # Painting
minecraft:paper                                    # Paper
minecraft:piston                                   # Piston
minecraft:planks                                   # Oak Planks
minecraft:poisonous_potato                         # Poisonous Potato
minecraft:porkchop                                 # Raw Porkchop
minecraft:portal                                   # Portal
minecraft:potato                                   # Potato
minecraft:potatoes                                 # Potatoes
minecraft:potion                                   # Water Bottle
minecraft:pumpkin                                  # Pumpkin
minecraft:pumpkin_pie                              # Pumpkin Pie
minecraft:pumpkin_seeds                            # Pumpkin Seeds
minecraft:quartz                                   # Nether Quartz
minecraft:quartz_block                             # Quartz Block
minecraft:quartz_ore                               # Nether Quartz Ore
minecraft:quartz_stairs                            # Quartz Stairs
minecraft:rail                                     # Track
minecraft:record_11                                # Music Disc
minecraft:record_13                                # Music Disc
minecraft:record_blocks                            # Music Disc
minecraft:record_cat                               # Music Disc
minecraft:record_chirp                             # Music Disc
minecraft:record_far                               # Music Disc
minecraft:record_mall                              # Music Disc
minecraft:record_mellohi                           # Music Disc
minecraft:record_stal                              # Music Disc
minecraft:record_strad                             # Music Disc
minecraft:record_wait                              # Music Disc
minecraft:record_ward                              # Music Disc
minecraft:red_flower                               # Poppy
minecraft:red_mushroom                             # Mushroom
minecraft:red_mushroom_block                       # Mushroom
minecraft:redstone                                 # Redstone Dust
minecraft:redstone_block                           # Redstone Block
minecraft:redstone_lamp                            # Redstone Lamp
minecraft:redstone_ore                             # Redstone Ore
minecraft:redstone_torch                           # Redstone Torch
minecraft:reeds                                    # Sugar Cane
minecraft:repeater                                 # Redstone Repeater
minecraft:rotten_flesh                             # Rotten Flesh
minecraft:saddle                                   # Saddle
minecraft:sand                                     # Sand
minecraft:sandstone                                # Sandstone
minecraft:sandstone_stairs                         # Sandstone Stairs
minecraft:sapling                                  # Oak Sapling
minecraft:shears                                   # Shears
minecraft:sign                                     # Oak Sign
minecraft:skull                                    # Skeleton Skull
minecraft:slime_ball                               # Slimeball
minecraft:snow                                     # Snow
minecraft:snow_layer                               # Snow
minecraft:snowball                                 # Snowball
minecraft:soul_sand                                # Soul Sand
minecraft:spawn_egg                                # Spawn
minecraft:speckled_melon                           # Glistering Melon
minecraft:spider_eye                               # Spider Eye
minecraft:sponge                                   # Sponge
minecraft:spruce_stairs                            # Spruce Stairs
minecraft:stained_glass                            # White Glass
minecraft:stained_glass_pane                       # White Glass Pane
minecraft:stained_hardened_clay                    # White Terracotta
minecraft:stick                                    # Stick
minecraft:sticky_piston                            # Sticky Piston
minecraft:stone                                    # Stone
minecraft:stone_axe                                # Stone Axe
minecraft:stone_brick_stairs                       # Stone Brick Stairs
minecraft:stone_button                             # Button
minecraft:stone_hoe                                # Stone Hoe
minecraft:stone_pickaxe                            # Stone Pickaxe
minecraft:stone_pressure_plate                     # Pressure Plate
minecraft:stone_shovel                             # Stone Shovel
minecraft:stone_slab                               # Smooth Stone Slab
minecraft:stone_stairs                             # Stone Stairs
minecraft:stone_sword                              # Stone Sword
minecraft:stonebrick                               # Stone Bricks
minecraft:string                                   # String
minecraft:sugar                                    # Sugar
minecraft:tallgrass                                # Shrub
minecraft:tnt                                      # TNT
minecraft:tnt_minecart                             # TNT Cart
minecraft:torch                                    # Torch
minecraft:trapdoor                                 # Oak Trapdoor
minecraft:trapped_chest                            # Trapped Chest
minecraft:tripwire_hook                            # Tripwire Hook
minecraft:vine                                     # Vines
minecraft:water                                    # Water
minecraft:water_bucket                             # Water Bucket
minecraft:waterlily                                # Lily Pad
minecraft:web                                      # Cobweb
minecraft:wheat                                    # Wheat
minecraft:wheat_seeds                              # Wheat Seeds
minecraft:wooden_axe                               # Wooden Axe
minecraft:wooden_button                            # Oak Button
minecraft:wooden_door                              # Oak Door
minecraft:wooden_hoe                               # Wooden Hoe
minecraft:wooden_pickaxe                           # Wooden Pickaxe
minecraft:wooden_pressure_plate                    # Oak Pressure Plate
minecraft:wooden_shovel                            # Wooden Shovel
minecraft:wooden_slab                              # Oak Slab
minecraft:wooden_sword                             # Wooden Sword
minecraft:wool                                     # White Wool Block
minecraft:writable_book                            # Book and Quill
minecraft:written_book                             # Written Book
minecraft:yellow_flower                            # Dandelion
miniwheats:block_sugar                             # Block of Sugar
miniwheats:block_wheat_frosted                     # Block of Frosted Shredded Wheat
miniwheats:block_wheat_shredded                    # Block of Shredded Wheat
miniwheats:cereal_bowl_miniwheat                   # Bowl of Shredded Mini-Wheats
miniwheats:cereal_bowl_miniwheat_frosted           # Bowl of Frosted Shredded Mini-Wheats
miniwheats:wheat_frosted                           # Frosted Mini-Wheat
miniwheats:wheat_frosted_double                    # Double Frosted Mini-Wheat
miniwheats:wheat_frosted_quadruple                 # QUADRUPLE Frosted Mini-Wheat
miniwheats:wheat_frosted_triple                    # Triple Frosted Mini-Wheat
miniwheats:wheat_shredded                          # Shredded Mini-Wheat
miniwheats:wheat_shredded_double                   # Double Shredded Mini-Wheat
miniwheats:wheat_shredded_quadruple                # QUADRUPLE Shredded Mini-Wheat
miniwheats:wheat_shredded_triple                   # Triple Shredded Mini-Wheat
miniwheats:wheat_workbench                         # Mini-Wheat Workbench (I can't get it to work)
minst:bossspawner                                  # Musical Altar
minst:endernote                                    # Ender Note
minst:goldennote                                   # Golden Note
minst:nethernote                                   # Nether Note
minst:noteofthelegion                              # Note Of The Legion
minst:orcishbagpipe                                # Vígríðr Fierce
minst:orcishdrum                                   # Raijin's Drum
minst:orcishflute                                  # Syrinx
minst:orcishhorn                                   # Gjallarhorn
minst:orcishoboe                                   # Clarry
minst:orcishukulele                                # Väinämöinen's Lute
minst:t1bagpipe                                    # Bagpipe
minst:t1drum                                       # Drum
minst:t1flute                                      # Flute
minst:t1horn                                       # Horn
minst:t1oboe                                       # Oboe
minst:t1ocarina                                    # Ocarina
minst:t1ukulele                                    # Ukulele
minst:t2bagpipe                                    # Nether Bagpipe
minst:t2drum                                       # Nether Drum
minst:t2flute                                      # Nether Flute
minst:t2horn                                       # Nether Horn
minst:t2oboe                                       # Nether Oboe
minst:t2ocarina                                    # Nether Ocarina
minst:t2ukulele                                    # Nether Ukulele
minst:t3bagpipe                                    # Ender Bagpipe
minst:t3drum                                       # Ender Drum
minst:t3flute                                      # Ender Flute
minst:t3horn                                       # Ender Horn
minst:t3oboe                                       # Ender Oboe
minst:t3ocarina                                    # Ender Ocarina
minst:t3ukulele                                    # Ender Ukulele
minst:zelda                                        # Ocarina of Time
mm:BlueMM                                          # Blue M&M
mm:BrownMM                                         # Brown M&M
mm:CookieMM                                        # M&M's Cookie
mm:GreenMM                                         # Green M&M
mm:MinusMM                                         # item.Minus.name
mm:OrangeMM                                        # Orange M&M
mm:RainbowMM                                       # Rainbow M&M
mm:RedMM                                           # Red M&M
mm:YellowMM                                        # Yellow M&M
moarcarts:Comparator Track                         # Comparator Track
moarcarts:blockrfloader                            # RF Loader
moarcarts:item.minecartcapacitor                   # LV Capacitor Cart
moarcarts:item.minecartdsu                         # Deep Storage Unit Cart
moarcarts:item.minecartenderchest                  # Ender Chest Cart
moarcarts:item.minecartinfinitato                  # Infinitato Cart
moarcarts:item.minecartironchest                   # DirtChest 9000! Cart
moarcarts:item.minecartmetalbarrel                 # Metal Barrel Cart
moarcarts:item.minecarttinypotato                  # Tiny Potato Cart
moarcarts:item.minecartwoodenbarrel                # Wooden Barrel Cart
moarcarts:item.minecartwoodencrate                 # Wooden Storage Crate Cart
moarcarts:item.minecraftmachinebeta                # Void Chest Cart
moarswords:AbsorptionSword                         # Absorption Sword
moarswords:ArthropodIngot                          # Arthropod Ingot
moarswords:ArthropodToolRod                        # Arthropod Tool Rod
moarswords:BlindnessSword                          # Blindness Sword
moarswords:BoneToolRod                             # Bone Tool Rod
moarswords:CookedMeatIngot                         # Cooked Meat Ingot
moarswords:CookedMeatToolRod                       # Cooked Meat Tool Rod
moarswords:DarkEndstone                            # Dark Endstone
moarswords:DarkEndstoneIngot                       # Dark Endstone Ingot
moarswords:DarkEndstoneToolRod                     # Dark Endstone Tool Rod
moarswords:DarkIngot                               # Dark Ingot
moarswords:DarkToolRod                             # Dark Tool Rod
moarswords:Dynamite                                # Dynamite
moarswords:DynamiteRender                          # Bro, missed something?
moarswords:ElectricOre                             # Electric Ore
moarswords:ElectricShard                           # Electric Shard
moarswords:FeatherIngot                            # Lightweight Ingot
moarswords:FeatherToolRod                          # Lightweight Tool Rod
moarswords:FlamingIngot                            # Flaming Ingot
moarswords:FlamingSword                            # Flaming Sword
moarswords:FlamingToolRod                          # Flaming Tool Rod
moarswords:GAppleIngot                             # Golden Apple Ingot
moarswords:GlisteringIngot                         # Glistering Ingot
moarswords:GoldenMelon                             # Golden Melon
moarswords:GoldenMelonIngot                        # Golden Melon Ingot
moarswords:GoldenMelonToolRod                      # Golden Melon Tool Rod
moarswords:GoldenToolRod                           # Golden Tool Rod
moarswords:GunpowderToolRod                        # Gunpowder Tool Rod
moarswords:HarmingIngot                            # Netherrack Ingot
moarswords:HarmingSword                            # Harming Sword
moarswords:HarmingToolRod                          # Netherrack Tool Rod
moarswords:HasteIngot                              # Glowstone Ingot
moarswords:HasteToolRod                            # Glowstone Tool Rod
moarswords:HealingSword                            # Healing Sword
